direction_idx,azimuth,elevation
0,1.5707963267949,1.5707963267949
1,1.60379350591293,1.54058288973075
2,1.56525739617035,1.6338256633479
3,1.52358375211743,1.50931633619633
4,1.6589303404244,1.5863645604076
5,1.48628331077233,1.62444109767317
6,1.59936270205182,1.46494243296094
7,1.62557881295389,1.67583589438117
8,1.45179678908296,1.52746751758832
9,1.69504301362799,1.51968550676899
10,1.51045953584128,1.69894814562386
11,1.52605372635054,1.42915238734883
12,1.70527257370817,1.6483376042716
13,1.41303857142907,1.60532152066097
14,1.66777777571764,1.43392744568165
15,1.59331104967543,1.74280935354547
16,1.43318457681947,1.45569372651206
17,1.7553415878013,1.56320819055863
18,1.43525895057498,1.70445980159365
19,1.57993348760875,1.3757126223683
20,1.70020416187195,1.72422239885934
21,1.36722887922058,1.54360209893393
22,1.7441703086554,1.45134207945684
23,1.52291670001923,1.78041940760183
24,1.46028588697639,1.38065813032391
25,1.78465273923177,1.63840031640586
26,1.36265216993956,1.66598278973106
27,1.66214273012162,1.35618871875727
28,1.65245646578835,1.79380791460388
29,1.35614667752211,1.45931099066246
30,1.80861782346241,1.50877625536669
31,1.43373053786314,1.78018358821621
32,1.52690290120758,1.3208157059122
33,1.77621822040806,1.72747527761948
34,1.31007102203706,1.59214974371693
35,1.75333774977021,1.37703038950539
36,1.5694503862051,1.84000049631725
37,1.38488727108273,1.36978885197445
38,1.84630593590791,1.59600334823732
39,1.34540435490244,1.73881689676931
40,1.62296636730288,1.29163861407039
41,1.72695336410756,1.81308317264514
42,1.2896719330319,1.4949086139379
43,1.83428041908015,1.4379272123014
44,1.46449719656589,1.84953018165109
45,1.45419363658249,1.29243315534151
46,1.84756729172698,1.69957834601404
47,1.27578135933415,1.66019997967255
48,1.73200250485903,1.30347174541886
49,1.63896902715486,1.87797776510361
50,1.30892051813772,1.38892318147077
51,1.88932567057906,1.53178632543203
52,1.35647172520866,1.81565643475244
53,1.55843163253912,1.24390738588472
54,1.80689977261997,1.80384794500222
55,1.23791386612532,1.55408998260009
56,1.83405818663404,1.35900473245681
57,1.52205670707842,1.90676124809551
58,1.37137537446646,1.2906570730505
59,1.90797201636471,1.64677143690287
60,1.26483791239493,1.73982007134404
61,1.68336918784162,1.23744383755381
62,1.72301002580764,1.89173163745809
63,1.24010105628271,1.43390328538677
64,1.91155322348501,1.45297754687611
65,1.39449767797871,1.88935436227349
66,1.47536573087711,1.21749621672261
67,1.88367754495458,1.76823296204684
68,1.20441320255749,1.63049461268341
69,1.80789471901802,1.27910949658259
70,1.60150521441735,1.94608008946027
71,1.28744822757786,1.31533002314551
72,1.95266438153842,1.57443226558583
73,1.27835478249921,1.82419992696218
74,1.61039027020706,1.18550574494646
75,1.81276900078214,1.87953417007153
76,1.18434711299549,1.50044497455314
77,1.9110558053995,1.36596274198606
78,1.45827058286717,1.95304317658538
